Conversion Object Name,SAP Modules,Data Type,Rule #,Profiling Rule Descriptions,Quality Dimension,Attribute Group
Customer Master,SCM - Supply-Chain-Management,Master,1,Find Active Customers: Check if any transaction occurred over the last 3 Years,Relevancy,Active Count
Customer Master,SCM - Supply-Chain-Management,Master,2,Retrieve all customers which have deletion flag set,Relevancy,Inactive Count
Customer Master,SCM - Supply-Chain-Management,Master,3,Retrieve customers based on the account group ,Relevancy,Account Group
Customer Master,SCM - Supply-Chain-Management,Master,4,"Check if the Pin Code is in right format as per the US and CA naming standards. For US, Code should be in USA: 99999 format, and for CA, Code should be in CAN: XXX XXX format",Consistency,Address
Customer Master,SCM - Supply-Chain-Management,Master,5,Retrieve customers where city contains comma character,Conformity,Address
Customer Master,SCM - Supply-Chain-Management,Master,6,Retrieve all customers where street has PO BOX or PO Box information is not blank,Completeness,Address
Customer Master,SCM - Supply-Chain-Management,Master,7,Percentage of Customers with blank Postal Code(Zip code) ,Completeness,Address
Customer Master,SCM - Supply-Chain-Management,Master,8,"Postal Code (Zip) code for US Customers (Sold-to, Ship-to, Bill-to, Payer, Inter-Company(Plant) Customers, One-Time Customer) should be either 5 digit or 10 digit with format as XXXXX or  XXXXX-XXXX",Conformity,Address
Customer Master,SCM - Supply-Chain-Management,Master,9,Retrieve all customers where street is not blank and street having only numeric values,Conformity,Address
Customer Master,SCM - Supply-Chain-Management,Master,10,Retrieve all customers where street is not blank and street having only alphabets only,Conformity,Address
Customer Master,SCM - Supply-Chain-Management,Master,11,"Percentage of Customers (Sold-to, Ship-to, Bill-to, Payer, Inter-Company(Plant) Customers, One-Time Customer) with blank ""City"" field",Completeness,Address
Customer Master,SCM - Supply-Chain-Management,Master,12,Retrieve all customers were street contains special characters,Conformity,Address
Customer Master,SCM - Supply-Chain-Management,Master,13,Country should not be null or blank,Completeness,Address
Customer Master,SCM - Supply-Chain-Management,Master,14,"For Canada, currency is always 'CAD'. For USA, currency is always ""USD""",Conformity,Currency
Customer Master,SCM - Supply-Chain-Management,Master,15,1.Check for NULL Cust Number 2. Check if the spaces are present in the beginning or at the end of Customer Number ,Completeness,Customer Number
Customer Master,SCM - Supply-Chain-Management,Master,16,Check if Duplicate Customer Numbers are present,Uniqueness,Duplicate Check
Customer Master,SCM - Supply-Chain-Management,Master,17,"Check if the DOB is present, and if present then DOB greater than Year 2000 and less than Year 1901. Date Format taken as YYYY.MM.DD",Conformity,DOB
Customer Master,SCM - Supply-Chain-Management,Master,18,"Check for duplicate Customers by comparing combination of values for  fields - Account group, name, address, tax id(KTOKD,NAME1,ADRNR,STCD1)",Uniqueness,Duplicate Check
Customer Master,SCM - Supply-Chain-Management,Master,19,"Check if the Customer Names are in Valid Format (Other than alphabets, "","" (Comma) and ""."" (Dot) are marked Invalid). Also check there is no space in beginning and end of name values",Conformity,Customer Name
Customer Master,SCM - Supply-Chain-Management,Master,20,Check if duplicate Customer Names are present,Uniqueness,Duplicate Check
Customer Master,SCM - Supply-Chain-Management,Master,21,Number of Customers with email id not in a valid format (should contain @ and no spaces should exist in the string that contains @),Conformity,Email
Customer Master,SCM - Supply-Chain-Management,Master,22,Number of Customers with no email id maintained,Completeness,Email
Customer Master,SCM - Supply-Chain-Management,Master,23,Retrieve all customers where fax number is missing,Completeness,Fax
Customer Master,SCM - Supply-Chain-Management,Master,24,"Name 1 must not contain any of these special characters: (~); (*) ; (:) ; (^) ; (\) ; (/) ;  (>) ; (<) ; (|) ; (,) ; (;) ; ( "" ) ; ( ' ) ; ( @ ) ; ( ? ), ( + ), ( # ) for all Customer account groups",Conformity,Name
Customer Master,SCM - Supply-Chain-Management,Master,25,"Identify Customer with invalid Name1 values: Invalid words included in the Name Field as status indicator (i.e. Blocked, Delete, Do not use, closed, test)",Conformity,Name
Customer Master,SCM - Supply-Chain-Management,Master,26,"Identify Customer Names that exceed the maximum allowable field size. In SAP , customer name field length in BUT000 table is 35 char long, hence if the values from dealer trade names need to be populated in S4, proper trim values will be required from Business",Conformity,Name
Customer Master,SCM - Supply-Chain-Management,Master,27,"Check Missing Payment Method for Customers (Sold-to, Ship-to, Bill-to, Payer, Inter-Company(Plant) Customers, One-Time Customer, Intercompany) having company code extensions",Completeness,Payment Method
Customer Master,SCM - Supply-Chain-Management,Master,28,"Percentage of Customers (Sold-to, Ship-to, Bill-to, Payer, Inter-Company(Plant) Customers, One-Time Customer, Intercompany) having company code extensions and blank payment terms",Completeness,Payment Term
Customer Master,SCM - Supply-Chain-Management,Master,29,Find customers where payment term is blank,Completeness,Payment Term
Customer Master,SCM - Supply-Chain-Management,Master,30,Find customers where Recon account is blank,Completeness,Recon Account
Customer Master,SCM - Supply-Chain-Management,Master,31,"Check if the Tax Number is available in right format as per the US naming standards. SSN format should align with 999-99-9999, and TIN format should align with XX-99-9999 format",Conformity,Tax
Customer Master,SCM - Supply-Chain-Management,Master,32,Percentage of Customers in United States and Canada with no Tax Jurisdiction Code,Completeness,Tax
Customer Master,SCM - Supply-Chain-Management,Master,33,"Check if the Telephone is missing, and if present then no alphabets should be present and length be 10 digit only ( as per US and Canada standards)",Conformity,Telephone
Customer Master,SCM - Supply-Chain-Management,Master,34,Percentage of US Customers with Telephone Numbers not in the format (XXX)-XXX-XXXX ,Conformity,Telephone
Customer Master,SCM - Supply-Chain-Management,Master,35,Percentage of Customers with blank Telephone Numbers ,Completeness,Telephone
Customer Master,SCM - Supply-Chain-Management,Master,36,Retrieve all customers where  telephone1 is not blank and get the unique count,Relevancy,Telephone
Customer Master,SCM - Supply-Chain-Management,Master,37,Check if the Sales Org is present/absent,Completeness,Sales Area
Customer Master,SCM - Supply-Chain-Management,Master,38,How many Customers in ECC also play the role of Vendors (and vice versa),Relevancy,Role
Vendor Master,MM - Material Management,Master,1,Find Active Vendors: Check if any transaction occurred over the last 3 Years,Relevancy,Active Count
Vendor Master,MM - Material Management,Master,2,Retrieve all vendors which have deletion flag set (marked as Blocked),Relevancy,Inactive Count
Vendor Master,MM - Material Management,Master,3,"Check if there are duplicate vendors by checking combination of values for certain fields:
1) Account group, name, address
2) Account group, tax identification",Uniqueness,Duplicate Check
Vendor Master,MM - Material Management,Master,4,"Duplicate Vendor: Check if duplicate Vendor Names are present based on the combination of Vendor Name, Account Group, and Tax Number",Uniqueness,Duplicate Check
Vendor Master,MM - Material Management,Master,5,Each and every vendor should have a name,Completeness,Name
Vendor Master,MM - Material Management,Master,6,"No invalid words  in name field - ""Archive"", ""Delete"", ""Do Not Use"", ""Cancel"", ""Block"", ""Blocked"" [include all variations]",Conformity,Name
Vendor Master,MM - Material Management,Master,7,"Check if the Vendor Names are in Valid Format (Other than alphabets and """"."""" (Dot) are marked Invalid)",Conformity,Name
Vendor Master,MM - Material Management,Master,8,"Check Address Line 1 & Address Line 2  for Active Vendors exist (Direct, Indirect, Ordering Address, Invoicing Party, Inter-Company(Plants), Customers, One-Time Vendor, Manufacturer Rep, Tax and Payroll Tax, Freight Forwarder)",Completeness,Address
Vendor Master,MM - Material Management,Master,9,"Identify invalid region
[IS (blank OR Null) AND NOT(in base table T005S)] ",Integrity,Address
Vendor Master,MM - Material Management,Master,10,Check if the Street Address is Present for the required Account Groups,Completeness,Address
Vendor Master,MM - Material Management,Master,11,"Check Missing Postal Code for Vendors (Direct, Indirect, Ordering Address, Invoicing Party, Inter-Company(Plants), Customers, One-Time Vendor, Manufacturer Rep, Tax and Payroll Tax, Freight Forwarder).",Completeness,Address
Vendor Master,MM - Material Management,Master,12,"Check if the Pin Code is in right format as per the US and CA naming standards. For US, Code should be in USA: 99999 format, and for CA, Code should be in CAN: XXX XXX format",Conformity,Address
Vendor Master,MM - Material Management,Master,13,"Bank details should be maintained for Direct/Indirect vendors, employee vendors. If invoicing party vendors are assigned as partners to main vendors, these should have bank information available",Integrity,Bank
Vendor Master,MM - Material Management,Master,14,"Check for Missing Company code for Vendors(Direct and Indirect, Employee). If there are Invoicing Party vendors assigned to the vendors, they should also have company code extensions",Integrity,Company Code
Vendor Master,MM - Material Management,Master,15,"Check email for vendors exist (Direct, Indirect, Ordering Address, Inter-Company(Plants), Freight Forwarder).",Completeness,Email
Vendor Master,MM - Material Management,Master,16,Number of Vendors with email id not in a valid format (should contain @ and no spaces should exist in the string that contains @),Conformity,Email
Vendor Master,MM - Material Management,Master,17,Check if the invoicing party vendors are assigned to main vendors,Integrity,Partner Function
Vendor Master,MM - Material Management,Master,18,Check if the ordering address vendors are assigned to main vendors,Integrity,Partner Function
Vendor Master,MM - Material Management,Master,19,"Check Missing Payment Method for Vendors (Direct, Indirect, Invoicing Party, Employee, Intercompany) having company code extensions",Completeness,Payment Term
Vendor Master,MM - Material Management,Master,20,"Check Missing Payment Term for Vendors (Direct, Indirect, Ordering Address, Invoicing Party, Inter-Company(Plants), Customers, Manufacturer Rep, Tax and Payroll Tax, Freight Forwarder) having company code extensions",Completeness,Payment Term
Vendor Master,MM - Material Management,Master,21,"Number of records with payment block indicator
Identify payment block flag to categorize inactive records
If Payment Block Indicator='X'",Relevancy,Payment Term
Vendor Master,MM - Material Management,Master,22,"Validate whether the Purchase Org info is defined or Purchase Org extensions exist for Direct and Indirect vendors, Goods Suppliers",Validity,Purchase Org
Vendor Master,MM - Material Management,Master,23,Check missing Purchase Order Currency for vendors having Purchasing Org extensions,Completeness,Purchase Org
Vendor Master,MM - Material Management,Master,24,"Check for Blank Inco Terms (Direct Vendors, Indirect Vendors, Intercompany, Good Supplier) having Purchasing Org extensions",Completeness,Purchase Org
Vendor Master,MM - Material Management,Master,25,"Check Reconciliation account belongs to the account group for vendors (Direct/Indirect, Invoicing Party, Employee, Intercompany)",Integrity,Recon Account
Vendor Master,MM - Material Management,Master,26,"Check blank Tax number for Vendors (Direct, Indirect, Invoicing Party, Inter-Company(Plants), Customers, One-Time Vendor, Manufacturer Rep, Tax and Payroll Tax, Freight Forwarder) in United States.",Completeness,Tax
Vendor Master,MM - Material Management,Master,27,"Check if the Tax Number is available in right format as per the US naming standards. SSN format should align with 999-99-9999, and TIN format should align with XX-99-9999 format",Conformity,Tax
Vendor Master,MM - Material Management,Master,28,"Check blank VAT number for Vendors (Direct, Indirect, Invoicing Party, Inter-Company(Plants), Customers, Manufacturer Rep, Tax and Payroll Tax, Freight Forwarder) in EU Countries.",Completeness,Tax
Vendor Master,MM - Material Management,Master,29,Vendors in United States and Canada with no Tax Jurisdiction Code,Completeness,Tax
Vendor Master,MM - Material Management,Master,30,"Check  Telephone Numbers for Vendors exist (Direct, Indirect,  Ordering Address, Invoicing Party, Customers, Manufacturer Rep, Tax and Payroll Tax, Freight Forwarder).",Completeness,Telephone
Vendor Master,MM - Material Management,Master,31,"Check if the Telephone is missing, and if present then no alphabets should be present and length be 10 digit only ( as per US and Canada standards)",Conformity,Telephone
Vendor Master,MM - Material Management,Master,32,Identify employee vendors (record count),Relevancy,Employee
Vendor Master,MM - Material Management,Master,33,"Identify invalid Industry key
IF Industry Key IS (blank OR null) OR (NOT in base table T016) ",Integrity,Industry Key
Material Master,MM - Material Management,Master,1,"Identify active materials - Materials which have a Sales Order, Purchase Order or a Production Order in specified time frame",Relevancy,Active Count
Material Master,MM - Material Management,Master,2,Length of Material number should not be greater than 40 characters,Conformity,Material Number
Material Master,MM - Material Management,Master,3,"Each material should have a description
Material Description should not be greater than 40 characters",Conformity,Material Description
